##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
DIPROL_WAR5;You may not declare war upon %s, since you have a non-aggression pact with them.;Vous ne pouvez pas dйclarer la guerre а %s, car vous avez signй avec eux un pacte de non-agression.;Non puoi dichiarare guerra a %s dal momento che hai stipulato un patto di non belligeranza con questa nazione.;No puedes declarar la guerra a %s porque tienes un pacto de no agresiуn con ellos.;Sie kцnnen %s nicht den Krieg erklдren, da Sie einen Nichtangriffspakt mit ihnen unterschrieben haben.;Nie moїesz wypowiedzieж wojny paсstwu: %s, poniewaї mamy z nimi podpisany pakt o nieagresji.;;Мы не можем объявить войну государству %s, потому что подписали с ними договор о ненападении.;;;X
DIPROL_WAR6;You may not declare war upon %s while they are your puppet state.;Vous ne pouvez pas dйclarer la guerre а %s tant qu’ils restent votre satellite.;Non puoi dichiarare guerra a %s finchй questo paese sarа la tua nazione fantoccio.;No puedes declararle la guerra a %s mientras sea tu estado tнtere.;Sie kцnnen %s keinen Krieg erklдren wдhrend Sie sich im Marionettenstatus befinden.;Nie moїesz wypowiedzieж wojny paсstwu: %s, poniewaї jest ono Twoim paсstwem satelickim.;;Мы не можем объявить войну государству %s, потому что это наш сателлит.;;;X
DEPRECATED_DIPROL_WAR7;You may not declare war upon %s while relationships between our countries are higher than %.0f.;Vous ne pouvez pas dйclarer la guerre а %s tant que les relations entre nos nations sont plus hautes que %.0f.;Non puoi dichiarare guerra a %s mentre le relazioni tra le nostre nazioni sono superiori a %.0f.;No se puede declarar la guerra contra %s mientras las relaciones entre ambos paнses sea superior a %.0f.;Sie kцnnen %s nicht den Krieg erklдren, solange die Beziehungen zwischen den Nationen grцЯer als %.0f sind.;Nie moїesz wypowiedzieж wojny paсstwu: %s gdy stos. dypl. miкdzy krajami s№ wyїsze niї %.0f.;;Мы не можем объявить войну государству %s потому что отношения между нашими странами выше чем %.0f.;;;X
DEPRECATED_DIPROL_WAR8;You may not declare war upon %s while belligerence is lower than %.0f (current is %.0f).;Vous ne pouvez pas dйclarer une guerre contre %s alors que la belligйrance est moins de %.0f (actuellement est %.0f).;Non puoi dichiarare guerra a %s quando la belligeranza и minore di %.0f (quella corrente и %.0f).;Tъ no puedes declarar la guerra a %s mientras tu beligerancia sea menor a %.0f (actualmente es %.0f).;Sie kцnnen %s keinen Krieg erklдren, solange der Agressivitдt unter %.0f liegt (aktuell %.0f).;Nie moїesz wypowiedzieж wojny: %s podczas gdy ich wojowniczoњж jest niїsza niї %.0f (current is %.0f).;;Вы не можете объявить войну государству %s до тех пор, пока агрессивность менее %.0f (current is %.0f).;;;X
DEPRECATED_DIPROL_WAR9;You may not declare war upon %s while at the same side of a war against another country!;Vous ne pouvez pas dйclarer la guerre а %s lorsque vous кtes du mкme cфtй d'une guerre contre un autre pays !;Non puoi dichiarare guerra a %s mentre siamo dalla stessa parte in una guerra contro un terzo stato!;Usted no puede declarar la guerra a %s mientras este en el mismo lado en la guerra contra otro paнs.;Sie kцnnen %s nicht den Krieg erklдren, solange sie mit ihnen gemeinsam in einem anderen Krieg gegen einen anderen Gegner kдmpfen.;Nie moїesz wypowiedzieж wojny paсstwu: %s w czasie, gdy walczysz z nim po tej samej stronie w wojnie z innym krajem!;;Вы не можете объявить войну %s пока воюете с ней на одной стороне против другой страны!;;;X
DIPROL_PEACE0;This will make us sue for peace, in which case our pre-war borders will be restored.;Nous demanderons donc une paix avec retour aux frontiиres d'avant le conflit.;In questo modo ci ritroveremo a dover implorare la pace per ripristinare i confini precedenti alla guerra.;Esto harб que pidamos la paz y, de darse, volverбn las fronteras de antes de la guerra.;Dies lдsst uns um einen Frieden verhandeln, in dem unsere Vorkriegsgrenzen wiederhergestellt werden.;Jeїeli zmusz№ nas do zaproponowania pokoju, zostan№ przywrуcone granice sprzed wojny. ;;Мы просим мира без аннексий и контрибуций.;;;X
DIPROL_PEACE1;You must wait until %s %d until you can offer peace again.;Vous devez attendre %s %d avant de pouvoir proposer un nouveau traitй de paix.;Devi attendere %s %d prima di poter offrire nuovamente la pace.;Antes de poder ofrecer la paz de nuevo debes esperar hasta: %s %d.;Zum Unterbreiten eines neuen Friedensangebots mьssen Sie bis %s %d warten.;Musisz poczekaж do %s %d nim bкdziesz mуgі ponownie zaproponowaж pokуj.;;Вам необходимо дождаться месяца %s %d года, прежде чем вы вновь сможете предложить мир.;;;X
DIPROL_PEACE2;There is already a peace offer on the table and you cannot offer peace until you have responded.;Une proposition de paix vous est dйjа parvenue. Vous devez d'abord y rйpondre avant de faire une contre-proposition.;C'и giа una proposta di pace sul tuo tavolo: non puoi proporne un'altra prima di aver risposto.;Ya hay una propuesta de paz sobre la mesa y no puedes ofrecer otra hasta que haya una respuesta.;Wenn ein anderes Land ein Friedensangebot unterbreitet hat, mьssen Sie erst darauf reagieren, bevor Sie ein eigenes unterbreiten kцnnen.;Nim zaproponujesz pokуj, musisz najpierw odpowiedzieж na ich propozycjк.;;К вам уже поступило одно предложение о мире. Вы не можете предложить мир, пока не ответите на него.;;;X
DIPROL_ANNEX0;By Annexing a nation its provinces and military units become yours eternally and irreversibly.;Lors de l'annexion d'une nation, ses provinces et ses unitйs militaires passent immйdiatement et irrйmйdiablement sous votre contrфle.;Annettendo una nazione, le sue province e le unitа militari diverranno tue per sempre.;Al anexionarte una naciуn, sus provincias y unidades militares serбn tuyas eterna e irreversiblemente.;Durch Annektierung einer Nation kommen ihre Provinzen und Militдreinheiten fьr immer unwiederbringlich unter Ihre Kontrolle.;Aneksja paсstwa powoduje nieodwracalne przejкcie jego prowincji i wojsk.;;После аннексии государства все его провинции и армия навсегда станут нашими.;;;X
DIPROL_ANNEX1;You may only annex a nation if you control its capital and all key provinces.;Vous devez contrфler la capitale et tous les points stratйgiques d'une nation pour pouvoir l'annexer.;Puoi annettere una nazione solo se ne controlli la capitale e le province chiave.;Sуlo puedes anexionarte una naciуn de la que controles la capital y todas las provincias claves.;Sie kцnnen eine Nation nur dann annektieren, wenn Sie deren Hauptstadt und alle Schlьsselprovinzen kontrollieren.;Aby mуc dokonaж aneksji paсstwa, musisz kontrolowaж jego stolicк i kluczowe prowincje.;;Мы можем аннексировать государство только тогда, когда контролируем его столицу и основные провинции.;;;X
DIPROL_INV0;This will invite %s to join our Military Alliance.;Nous allons inviter %s а rejoindre notre alliance militaire.;Cosм inviti %s a unirsi alla nostra alleanza militare.;Esto invitarб a %s a unirse a nuestra alianza militar.;Dies lдdt %s ein, unserem Militдrbьndnis beizutreten.;Zaproњ paсstwo: %s do sojuszu.;;Это станет официальным приглашением государству %s вступить в военный союз.;;;X
DIPROL_INV1;%s is already member of a Military Alliance with %s.;%s est dйjа membre d'une alliance militaire avec %s.;%s и giа un alleato militare di %s.;%s ya es miembro de una alianza militar con %s.;%s ist schon im Militдrbьndnis mit %s.;%s jest juї sojusznikiem paсstwa: %s.;;Государство %s состоит в союзе со следующими государствами: %s.;;;X
DIPROL_INV2;Offer a military alliance to %s;Offrir une alliance militaire а %s;Proponi un’alleanza militare a %s;Ofrecerle una alianza militar a %s.;%s ein Militдrbьndnis anbieten;Zaproponuj sojusz paсstwu: %s ;;Предложить военный союз государству %s;;;X
DIPROL_INV3;We are at war with %s!;Nous sommes en guerre avec %s !;Siamo in guerra contro %s!;ЎEstamos en guerra con %s!;Wir befinden uns im Krieg mit %s!;Jesteњmy w stanie wojny z paсstwem: %s!;;Мы находимся в состоянии войны с государством %s!;;;X
DIPROL_JOIN0;Send a request to %s that we join the Military Alliance she has with %s.;Envoyer une requкte а %s pour rejoindre l'alliance militaire que cette nation forme avec %s.;Chiedi a %s di ammetterci all'alleanza militare che ha stipulato con: %s.;Envнa una peticiуn a %s para que nos unamos a la alianza militar que tiene con %s.;Bitte an %s senden, Ihrem Militдrbьndnis mit %s beitreten zu dьrfen.;Wyњlij informacjк do paсstwa: %s, їe chcemy siк przyі№czyж do sojuszu, ktуry zawarli z paсstwem: %s.;;Послать государству %s предложение о нашем присоединении к военному союзу, в котором оно состоит со следующими государствами: %s.;;;X
DIPROL_JOIN1;You are already a member of a Military Alliance.;Vous faites dйjа partie d'une alliance militaire.;Fai giа parte di un'alleanza militare.;Ya eres miembro de una alianza militar.;Sie sind bereits Mitglied eines Militдrbьndnisses.;Jesteњ juї zwi№zany sojuszem.;;Мы уже состоим в военном союзе.;;;X
DIPROL_JOIN2;We are at war with %s, which is a member of this Military Alliance!;Nous sommes en guerre avec %s qui est membre de cette alliance militaire !;Siamo in guerra contro %s, membro di questa alleanza militare!;Estamos en guerra con %s, que pertenece a esta alianza militar.;Wir befinden uns im Krieg mit %s, einem Mitglied dieses Militдrbьndnisses!;Jesteњmy w stanie wojny z paсstwem: %s, ktуre jest czіonkiem tego sojuszu.;;Мы находимся в состоянии войны с государством %s, которое входит в этот военный союз!;;;X
DIPROL_JOIN3;They are part of an alliance led by %s. You need to ask %s to join!;Ils sont membres de l'alliance menйe par %s. Vous devez demander а %s de vous rejoindre !;Fanno parte dell'alleanza guidata da %s. Devi chiedere a %s di ammetterti!;Forma parte de la alianza que lidera %s. Has de pedirle a %s unirte a ella.;Sie sind Teil des von %s angefьhrten Bьndnisses. Wenn Sie ihm beitreten mцchten, mьssen Sie %s darum bitten!;To paсstwo jest czіonkiem sojuszu pod przywуdztwem paсstwa: %s. Musisz poprosiж paсstwo: %s, aby poі№czyж siк z nimi sojuszem.;;Эта страна входит в союз, возглавляемый государством %s. Именно %s принимает решение о нашем присоединении к этому союзу!;;;X
DIPROL_GUARANTEE;If we guarantee the independence of %s, we will gain a Casus Belli on any country attacking them within the next five years.;Le fait de garantir l'indйpendance de %s nous fournit un Casus Belli contre toute nation les attaquant au cours des cinq prochaines annйes.;Garantendo l'indipendenza a %s, qualora attaccassimo una qualsiasi nazione entro i prossimi cinque anni, le forniremo un casus belli.;Si garantizamos la independencia de %s, tendremos un 'casus belli' contra cualquier paнs que lo ataque en los cinco aсos siguientes.;Wenn wir die Unabhдngigkeit von %s garantieren, gibt dies uns in den nдchsten fьnf Jahren einen Kriegsgrund gegenьber jedem Land, das sie angreift.;Jeїeli zagwarantujemy niepodlegіoњж kraju: %s, uzyskamy Casus  Belli przeciw kaїdemu, kto zaatakuje go przez najbliїsze piкж lat.;;Если мы гарантируем независимость государства %s, мы получим повод объявить войну любому государству, которое нападет на них в следующие пять лет.;;;X
DIPROL_ASKACC;We will ask %s to allow us to march our troops through their country. While we are granted this, we will not be able to declare war upon them.;Nous allons donc demander а %s de permettre а nos troupes de transiter par leur territoire. Nous ne pourrons pas leur dйclarer la guerre tant que cet accord perdure.;Chiederemo a %s il permesso di far marciare le nostre truppe attraverso il loro territorio. Nel frattempo, non potremo dichiarar loro guerra.;Le pediremos a %s que deje a nuestras tropas pasar por su paнs. Mientras esto nos estй garantizado, no podremos declararle la guerra.;Wir bitten %s, unsere Truppen durch ihr Land marschieren zu lassen. Wird uns dies gestattet, kцnnen wir ihnen nicht den Krieg erklдren.;Zapytamy paсstwo: %s, o pozwolenie na przemarsz wojsk. Jeїeli nam na to pozwoli, nie bкdziemy mogli wypowiedzieж wojny.;;Мы просим у государства %s разрешения на проход войск. Если они предоставят нам это право, мы не сможем объявить им войну.;;;X
DIPROL_REVACC;We are currently allowing %s to march their armies through our territory. By revoking this access we will stop them from it.;Nous accordons actuellement а %s le droit de faire transiter ses troupes sur notre territoire. Le fait de rйvoquer cet accord leur en interdira l'accиs mais leur fournira un Casus Belli contre nous.;Al momento, stiamo permettendo a %s di far marciare le loro truppe attraverso il nostro territorio. Revocando l'accesso, li fermeremo. Tuttavia, in questo modo forniremo loro un casus belli.;Ya permitimos que los ejйrcitos de %s pasen por nuestro territorio. Al revocar este permiso de acceso impediremos que lo siga empleando, pero le damos un 'casus belli'.;Momentan gestatten wir %s den Durchmarsch ьber unser Territorium. Wenn wir ihnen diese Erlaubnis wieder entziehen, geben wir ihnen dadurch einen Kriegsgrund.;Obecnie zezwalamy paсstwu: %s na przemarsz wojsk. Jeїeli siк z tego wycofamy, ich armie siк wycofaj№, ale uzyskaj№ oni Casus Belli przeciw nam.;;Сейчас мы предоставляем государству %s право на проход войск по нашей территории. Если мы запретим им проход войск, мы дадим им формальный повод объявить нам войну.;;;X
DIPROL_CANACC;%s allows us to pass through their country with our armies. We cannot cancel this while we have troops inside their borders.;%s nous accorde le droit de faire transiter nos armйes par ses provinces. Nous ne pouvons annuler cet accord tant que nos troupes stationnent sur leur sol.;%s ci hanno permesso di marciare attraverso il loro territorio. Non possiamo annullare questo patto, finchй avremo delle truppe all'interno dei loro confini.;%s permite que pasemos con nuestros ejйrcitos por su paнs. No podemos cancelarlo mientras tengamos tropas en sus fronteras.;%s lдsst unsere Armeen durch ihr Land ziehen. Wir kцnnen dies nicht annullieren, solange wir Truppen innerhalb ihrer Grenzen haben.;%s zezwala nam na przemarsz wojsk przez swoje terytorium. Nie moїemy siк z tego wycofaж, pуki nasi їoіnierze s№ na ich terenie. ;;Государство %s предоставило нам право на проход войск по их территории. Мы не можем отказаться от этого права, пока наши войска находятся в пределах их границ.;;;X
DIPROL_SAT;Puppet states of other nations are not free to do that.;Les satellite des autres pays n’y sont pas autorisйs.;Gli stati fantoccio delle altre nazioni non sono liberi di farlo.;Los estados tнteres de otras naciones no pueden hacer esto libremente.;Marionettenstaaten anderer Nationen kцnnen das nicht frei entscheiden.;Paсstwa satelickie nie mog№ przeprowadzaж takiej akcji.;;Сателлиты других государств не могут сделать это.;;;X
DIPROL_NEGOT;Open up general negotiations with %s.;Entamer des nйgociations avec %s.;Avvia i negoziati generali con %s.;Entablar negociaciones generales con %s.;Erцffnen Sie allgemeine Verhandlungen mit %s.;Rozpocznij negocjacje z paсstwem: %s.;;Заключить торговую сделку с государством %s.;;;X
DIPROL_TRADE;Suggest a Trade Agreement to %s.;Suggйrer un Accord d’йchange commercial а %s.;Accordo commerciale %s.;Proponer un acuerdo comercial a %s.;%s ein Handelsabkommen vorschlagen.;Zaproponuj podpisanie umowy handlowej z paсstwem: %s.;;Предложить торговое соглашение государству %s.;;;X
DIPROL_NONAGG;Suggest a non-aggression pact to %s.;Suggйrer un pacte de non-agression а %s.;Patto di non belligeranza con %s.;Proponer un pacto de no agresiуn a %s.;%s einen Nichtangriffspakt vorschlagen.;Zaproponuj podpisanie paktu o nieagresji z paсstwem: %s.;;Предложить договор о ненападении государству %s.;;;X
DEPRECATED_DIPROL_NO_NAP_CANCEL;It is against our policy to cancel our NAP with %s.;Il est contre notre politique d'annuler notre PNA avec %s.;E' contrario alle nostre politiche cancellare il nostro PNA con %s.;Es contrario a nuestra polнtica cancelar el PNA con %s.;Es ist gegen unsere Politik, den Nichtangriffspakt mit %s zu annulieren..;Jest przeciwko naszej polityce, by zakoсczyж pakt o nieagresji z: %s.;;Это противоречит нашей политике - отменить наши ПоН с %s.;;;X
DEPRECATED_DIPROL_NAP_CANCEL;Cancel our NAP with %s.;Annulation de notre PNA avec %s.;Cancella il nostro PNA con %s.;Cancelar PNA con %s.;Anullieren unseres Nichtangriffpaktes mit %s.;Zakoсcz pakt o nieagresji z: %s.;;Отменить наши ПоН с %s.;;;X
DEPRECATED_DIPROL_NO_GUARANTEE;It is against our policy to Guarantee Independence of other countries.;Il est contre notre politique de garantir l'indйpendance des autres pays.;E' contrario alle nostre politiche garantire l'indipendenza di altri paesi.;Es contrario a nuestra polнtica Garantizar la Independencia de otros paнses.;Es ist gegen unsere Politik, Garantien fьr andere Nationen auszusprechen.;Jest przeciwko naszej polityce, by gwarantowaж niepodlegіoњж innych paсstw.;;Это противоречит нашей политике выдачей гарантий независимости другим государствам.;;;X
