#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
ACTIONNAME252035B;Deny its de jure authority, it all belongs to the Emperor;;;;;;;;;;x
ACTIONNAME252035C;A dictatorial institution is bad, devolve its power;;;;;;;;;;x
EVT_252036_NAME;Reorganising the National Economy;;;;;;;;;;x
EVT_252036_DESC;For a long time economic reorganisation has been on the agenda of Restorationists, but no consensus has ever existed on how the reorganisation is to be accomplished. The Kakushinha did not hide its anti-business sentiment when they proposed abolishing the Zaibatsu system entirely and replacing it with a bureaucratic central planning system. The Kodoha share the same sentiment, but instead want direct nationalisation, especially of the arms and other industries vital to national security, while the Yokuseiha favour a minimalist approach and are vehemently against handing control of the economy to the state bureaucracy.;;;;;;;;;;x
ACTIONNAME252036A;Let the bureaucrats handle the economy;;;;;;;;;;x
ACTIONNAME252036B;Nationalise important industries;;;;;;;;;;x
ACTIONNAME252036C;Minimise the state's role;;;;;;;;;;x
EVT_252037_NAME;Dealing with the Agrarian Crisis;;;;;;;;;;x
EVT_252037_DESC;The Restorationists have always been particularly interested in rural poverty. Many Restorationist officers themselves come from an impoverished rural background, and the collapse of traditional agrarian society is widely considered as the main cause of the rise of syndicalism. The Kakushinha again want to establish bureaucratic control on the tenancy system, but the Kodoha seek to abolish landlordism completely and force land reform. The Yokuseiha propose colonial emigration as a way to diffuse the problem.;;;;;;;;;;x
ACTIONNAME252037A;Let the bureaucrats regulate landlordism;;;;;;;;;;x
ACTIONNAME252037B;Introduce land reform;;;;;;;;;;x
ACTIONNAME252037C;Send our farmers overseas;;;;;;;;;;x
EVT_252038_NAME;Konoe Fumimaro Resigns;;;;;;;;;;x
EVT_252038_DESC;Have failed to advance his vision and embroiled in a political struggle, Prince Konoe suddenly resigned and left the convention in disgust, leaving his puzzled supporters and Kakushinha delegates free to support either the Kodoha or the Yokuseiha.;;;;;;;;;;x
ACTIONNAME252038A;Support the Kodoha;;;;;;;;;;x
ACTIONNAME252038B;Support the Yokuseiha;;;;;;;;;;x
EVT_252039_NAME;Konoe Fumimaro Secures Support;;;;;;;;;;x
EVT_252039_DESC;After a fifteen-day-long convention, Prince Konoe has successfully advanced his agenda and secured support in the Taisei Yokusankai.;;;;;;;;;;x
EVT_252040_NAME;Araki Sadao Secures Support;;;;;;;;;;x
EVT_252040_DESC;After a fifteen-day-long convention, General Araki has successfully advanced his agenda and secured support in the Taisei Yokusankai.;;;;;;;;;;x
EVT_252041_NAME;Kuhara Fusanosuke Secures Support;;;;;;;;;;x
EVT_252041_DESC;After a fifteen-day-long convention, Restorationist politician Kuhara Fusanosuke has successfully advanced his agenda and secured support in the Taisei Yokusankai.;;;;;;;;;;x
EVT_252042_NAME;General Election and Appointment of Prime Minister;;;;;;;;;;x
EVT_252042_DESC;Prime Minister Hiranuma has taken the blame for the fiasco in Korea and announced a general election. Only candidates endorsed by the Taisei Yokusankai stand a chance of winning. Effectively reduced into a rubber stamp, the newly elected Imperial Diet will convene in December 1937.;;;;;;;;;;x
ACTIONNAME252042A;Appoint Konoe Fumimaro;;;;;;;;;;x
ACTIONNAME252042B;Appoint Araki Sadao;;;;;;;;;;x
ACTIONNAME252042C;Appoint Kuhara Fusanosuke;;;;;;;;;;x
EVT_252043_NAME;Nagata versus Obata;;;;;;;;;;x
EVT_252043_DESC;The ongoing factional rivalry within the ranks of the IJA has found a new front: the military strategic debate between the two rising stars, Major General Nagata Tetsuzan (Centralist) and Major General Obata Toshishiro (Restorationist). General Obata believes the Japanese economy is inadequate to sustain any kind of total warfare, and due to volatile international tensions, war would come to Japan before the country could ever achieve such a capability through internal development. Accordingly, he came to the conclusion that in future wars, the IJA must seek the quick destruction of hostile forces by waging war through short, rapid, and decisive operations, to avoid a long war. Since any long-term war strategy is futile to him, Obata places high priorities on operational planning and field initiative. General Nagata's analysis is nearly identical, but he has come to a different conclusion, and argues that building up a total war capable army should be the top objective. He calls for expanding our mobilisation capability, modernising equipment, and centralising the command structure.;;;;;;;;;;x
ACTIONNAME252043A;Stay away from this conflict;;;;;;;;;;x
ACTIONNAME252043B;Support Nagata and the Centralists;;;;;;;;;;x
ACTIONNAME252043C;Support Obata and the Restorationists;;;;;;;;;;x
EVT_252044_NAME;Reorganising the Imperial Japanese Army;;;;;;;;;;x
EVT_252044_DESC;After gaining official support, the Centralists have established their hegemony and now General Nagata is pushing for the realisation of his vision of 'total war'. Due to its militaristic nature however, the Government is not very enthusiastic about the project and seek to reduce the scale of the reorganisation.;;;;;;;;;;x
ACTIONNAME252044A;Keep things as they are;;;;;;;;;;x
ACTIONNAME252044B;Strengthen the command hierarchy;;;;;;;;;;x
ACTIONNAME252044C;Reorganise command to achieve total war-readiness;;;;;;;;;;x
EVT_252045_DESC;After gaining official support, the Restorationists have established their hegemony and now General Obata is pushing for the realisation of his vision of 'lightning war'. Due to its militaristic nature however, the Government is not very enthusiastic about the project and seek to reduce the scale of the reorganisation.;;;;;;;;;;x
ACTIONNAME252045B;Decentralise the chain of command;;;;;;;;;;x
ACTIONNAME252045C;Focus on operational initiative and mobility;;;;;;;;;;x
EVT_252046_DESC;The events of 1937 left a deep scar on the Imperial Japanese Army. Dozens of military thinkers and high-ranking officers were involved in the failed January coup and subsequently purged, showing how deeply radicalism had infiltrated into the Army. In an attempt to empower political moderates and neutrals within the IJA, a structural reorganisation has been called and discussed, but to avoid increasing internal tensions any further, the reorganisation has been constantly delayed.;;;;;;;;;;x
EVT_252050_NAME;General Election Apr. 1937;;;;;;;;;;x
EVT_252050_DESC;Having survived the fateful winter, the Government has called an election to confirm its electoral mandate and regain the political initiative.;;;;;;;;;;x
ACTIONNAME252050A;Elect Rikken Seiyukai (Conservatives);;;;;;;;;;x
ACTIONNAME252050B;Elect Minseito (Liberals);;;;;;;;;;x
ACTIONNAME252050C;Maintain the ruling coalition;;;;;;;;;;x
EVT_252051_NAME;A Party Divided;;;;;;;;;;x
EVT_252051_DESC;During the Rikken Seiyukai convention of 1936, Nakajima had felt his leading role was insecure and made power-sharing agreements with other factions. One such agreement was that the powerful post of the Secretary-General would remain vacant (but not abolished), with its tasks transferred to the collective leadership of the General Council. Last month, believing he had solidified his position, Nakajima attempted complete his domination by capturing the office of Secretary-General. To this end, he formally advised the General Council to return the post to former Secretary-General Kuhara Fusanosuke, who sympathised with the Reformists, and on April 28th Nakajima and his clique formed the 'Kakushin Domei' (Reformist Alliance), effectively a party within a party, pressing the General Council even further. After the general election had concluded, on May 14th the pro-Nakajima chairman of the General Council Horikiri Zenbe forced the issue to a vote within the Council, but the motion was vetoed by all other factions. Isolated within the upper echelons, the Reformists tried to overcome the situation by calling a convention to mobilise their local party cadres, but this was turned down by all other non-Reformist leaders again, frustrating Nakajima even more. Today, just a month after the election, the Kakushin Domei formally declared its independence from the Rikken Seiyukai.;;;;;;;;;;x
ACTIONNAME252051A;It is time to find our own path;;;;;;;;;;x
EVT_252052_NAME;Formation of the Kokumin Domei;;;;;;;;;;x
EVT_252052_DESC;After accepting Adachi Kenzo and his clique from the Minseito into the Kakushin Domei, Nakajima reorganised the party and renamed it the Kokumin Domei (National Alliance).;;;;;;;;;;x
EVT_252053_NAME;The Cabinet Resigns;;;;;;;;;;x
EVT_252053_DESC;The Prime Minister has taken responsibility for the disaster in Korea and resigned. A new cabinet must be selected.;;;;;;;;;;x
ACTIONNAME252053A;Appoint Mitsuchi Chujo;;;;;;;;;;x
ACTIONNAME252053B;Appoint Machida Chuji;;;;;;;;;;x
ACTIONNAME252053C;Appoint Nakajima Chikuhei;;;;;;;;;;x
ACTIONNAME252053D;Appoint Shoda Kazue;;;;;;;;;;x
EVT_252054_NAME;The Cabinet Planning Board;;;;;;;;;;x
